JPM,XOM,CRM,AMZN,TSLA,TWTR,AAPL,ORCL,GOOG,ZM,MCD,NKE,SBUX,T,KO
155.28256225585938,51.44331359863281,268.32000732421875,173.9499969482422,244.69667053222656,65.55000305175781,151.66017150878906,88.56231689453125,145.8419952392578,290.8599853515625,232.9534912109375,163.01748657226562,114.88739013671875,18.961118698120117,54.61262893676758
156.00201416015625,52.69663619995117,264.1499938964844,173.156005859375,244.1300048828125,64.5999984741211,152.79380798339844,88.4146499633789,144.218994140625,295.0899963378906,234.63595581054688,162.13584899902344,114.80914306640625,19.27492904663086,54.689697265625
155.05894470214844,52.49571228027344,267.0799865722656,173.90249633789062,244.52333068847656,64.66000366210938,153.440185546875,88.61155700683594,144.77499389648438,298.2900085449219,233.60887145996094,161.75938415527344,114.6330795288086,19.219139099121094,54.651161193847656
154.78672790527344,52.18955993652344,265.2099914550781,175.46449279785156,250.97332763671875,64.9800033569336,155.81687927246094,87.35130310058594,145.5189971923828,299.9599914550781,231.03627014160156,161.115478515625,113.26361846923828,19.121511459350586,53.6300048828125
154.09645080566406,51.7111930847168,262.6199951171875,176.27499389648438,251.2899932861328,62.27000045776367,154.2456817626953,88.08973693847656,144.8834991455078,293.6000061035156,233.41323852539062,159.20358276367188,115.46453094482422,19.247034072875977,54.352516174316406
154.7672882080078,51.74946594238281,260.739990234375,174.20799255371094,251.6199951171875,62.459999084472656,153.2114715576172,88.15865325927734,144.9134979248047,295.8599853515625,233.40345764160156,161.80892944335938,116.19815826416016,19.121511459350586,53.81304168701172
152.98812866210938,51.64422607421875,257.20001220703125,173.45750427246094,245.42333984375,61.560001373291016,148.139892578125,88.29649353027344,141.92100524902344,301.5,233.96102905273438,162.0565948486328,116.73616027832031,18.954145431518555,53.572200775146484
155.41867065429688,52.97407531738281,254.11000061035156,172.85850524902344,247.6666717529297,59.65999984741211,148.71665954589844,87.51868438720703,143.46499633789062,290.239990234375,235.94674682617188,158.02474975585938,116.57965850830078,19.191246032714844,54.015342712402344
152.70619201660156,52.21826934814453,254.3699951171875,172.5,248.163330078125,60.189998626708984,147.29461669921875,85.0572509765625,143.406005859375,281.44000244140625,235.86846923828125,157.27186584472656,116.26663208007812,19.058752059936523,54.05416488647461
153.7659149169922,53.978641510009766,256.1600036621094,173.7895050048828,251.94332885742188,61.84000015258789,148.19955444335938,86.37657928466797,145.20599365234375,279.1199951171875,235.72174072265625,156.42984008789062,112.13871002197266,19.22611427307129,54.238590240478516
153.69784545898438,53.40460968017578,260.3599853515625,174.41200256347656,252.3300018310547,62.290000915527344,147.96087646484375,85.90399169921875,144.37350463867188,278.2200012207031,237.903076171875,156.12274169921875,112.16805267333984,19.247034072875977,53.72415542602539
153.29922485351562,52.77316665649414,260.5299987792969,173.12600708007812,253.163330078125,62.470001220703125,145.24609375,85.0572509765625,141.4635009765625,287.67999267578125,237.1988067626953,154.95379638671875,110.93555450439453,19.198217391967773,52.84088897705078
148.7103729248047,51.36677169799805,258.2200012207031,167.7864990234375,243.38999938964844,60.95000076293945,142.1434783935547,84.84064483642578,139.01699829101562,280.6700134277344,233.87298583984375,152.8041229248047,109.3802490234375,18.975067138671875,52.47205352783203
148.72982788085938,51.31893539428711,257.9700012207031,167.18150329589844,246.4600067138672,62.779998779296875,142.63075256347656,85.5790786743164,139.64649963378906,278.239990234375,235.25221252441406,153.56692504882812,109.77151489257812,18.80072593688965,52.46234130859375
